Bacillus simplex
Bacillus smithii
Bacillus soli
Bacillus sporothermodurans
Bacillus subtilis
[Bacillus] vedderi
Bacillus vireti
Bacteroides acidifaciens
Bacteroides caccae
Bacteroides coprocola
Bacteroides fragilis
Bacteroides massiliensis
Bacteroides plebeius
Bacteroides stercoris
Bacteroides uniformis
Bacteroides vulgatus
Bartonella bacilliformis
Bartonella henselae
Beijerinckia indica
Belliella baltica
Belnapia moabensis
Bensingtonia yamatoana
Bergeyella zoohelcum
Beutenbergia cavernae
Bibersteinia trehalosi
Bifidobacterium bifidum
Bizionia paragorgiae
Blastobacter capsulatus
Blastobotrys arbuscula
Blastobotrys chiropterorum
Blastobotrys elegans
Blastobotrys parvus
Blastobotrys proliferans
Blastobotrys terrestris
Blastochloris sulfoviridis
Blastochloris viridis
Blastococcus aggregatus
Blastomonas natatoria
Bogoriella caseilytica
Bordetella avium
Bordetella bronchiseptica
Bordetella holmesii
Bordetella pertussis
Bordetella petrii
Bordetella trematum
Bosea minatitlanensis
Bosea thiooxidans
Brachybacterium faecium
Brachymonas denitrificans
Brackiella oedipodis
Bradyrhizobium denitrificans
Bradyrhizobium elkanii
Bradyrhizobium japonicum
Brenneria salicis
Brevibacillus brevis
Brevibacillus reuszeri
Brevibacterium casei
Brevibacterium epidermidis
Brevibacterium iodinum
Brevibacterium linens
Brevibacterium mcbrellneri
Brevibacterium otitidis
Brevundimonas alba
Brevundimonas aurantiaca
Brevundimonas bacteroides
Brevundimonas bullata
Brevundimonas diminuta
Brevundimonas intermedia
Brevundimonas nasdae
Brevundimonas subvibrioides
Brevundimonas variabilis
Brevundimonas vesicularis
Brucella abortus
Brucella melitensis
Bullera dendrophila
Bulleromyces albus
Burkholderia andropogonis
Burkholderia cepacia
Burkholderia glathei
Butyrivibrio hungatei
Caldanaerobius fijiensis
Caldanaerobius polysaccharolyticus
Caldithrix abyssi
Caloranaerobacter azorensis
Candida kipukae
Candida maris
Candida ortonii
Capnocytophaga gingivalis
Capnocytophaga ochracea
Cardiobacterium hominis
Carnimonas nigrificans
Carnobacterium alterfunditum
Carnobacterium divergens
Caryophanon latum
Caryophanon tenue
Castellaniella defragrans
Castellaniella denitrificans
Catellatospora citrea
Caulobacter fusiformis
Caulobacter vibrioides
Cedecea davisae
Cellulomonas cellasea
Cellulomonas fimi
Cellulomonas flavigena
Cellulomonas hominis
Cellulomonas xylanilytica
Cellulophaga algicola
Cellulophaga baltica
Cellulophaga fucicola
Cellulophaga lytica
Cellulosimicrobium cellulans
Cellvibrio japonicus
Cellvibrio mixtus
Cerasicoccus arenae
Chelatococcus asaccharovorans
Chitinimonas taiwanensis
Chitinophaga arvensicola
Chitinophaga filiformis
Chitinophaga ginsengisegetis
Chitinophaga ginsengisoli
Chitinophaga japonensis
Chitinophaga pinensis
Chitinophaga rupis
Chitinophaga sancti
Chitinophaga skermanii
398039
Chlorobaculum tepidum
Chlorobium limicola
Chromatium okenii
Chromobacterium subtsugae
Chromobacterium violaceum
Chromohalobacter beijerinckii
Chromohalobacter canadensis
Chromohalobacter israelensis
Chromohalobacter marismortui
Chromohalobacter nigrandesensis
Chromohalobacter salexigens
Chromohalobacter sarecensis
Chryseobacterium antarcticum
Chryseobacterium balustinum
Chryseobacterium bovis
Chryseobacterium caeni
Chryseobacterium daecheongense
Chryseobacterium daeguense
Chryseobacterium defluvii
Chryseobacterium formosense
Chryseobacterium gleum
Chryseobacterium haifense
Chryseobacterium hispanicum
Chryseobacterium hominis
Chryseobacterium indologenes
Chryseobacterium indoltheticum
Chryseobacterium jejuense
Chryseobacterium joostei
Chryseobacterium luteum
Chryseobacterium molle
Chryseobacterium pallidum
Chryseobacterium piscium
Chryseobacterium scophthalmum
Chryseobacterium soldanellicola
Chryseobacterium soli
Chryseobacterium taeanense
Chryseobacterium taichungense
Chryseobacterium ureilyticum
Chryseobacterium vrystaatense
Chryseobacterium wanjuense
Citreicella thiooxidans
Citreimonas salinaria
Citricoccus muralis
Citrobacter freundii
Citrobacter gillenii
Clavibacter michiganensis
Clostridium aceticum
[Clostridium] acidurici 9a
[Clostridium] aldrichii
[Clostridium] bifermentans
Clostridium butyricum
[Clostridium] cellulosi
Clostridium drakei
Clostridium felsineum
Clostridium formicaceticum
Clostridium halophilum
[Clostridium] herbivorans
[Clostridium] leptum
[Clostridium] methylpentosum
[Clostridium] oroticum
Clostridium peptidivorans
[Clostridium] polysaccharolyticum
Clostridium proteolyticum
[Clostridium] purinilyticum
[Clostridium] scindens
[Clostridium] sporosphaeroides
Clostridium subterminale
Clostridium sulfidigenes
[Clostridium] viride
Cobetia marina
Coenonia anatina
Collimonas fungivorans
Colwellia demingiae
Colwellia hornerae
Colwellia maris
Colwellia piezophila
Colwellia psychrerythraea
Colwellia psychrotropica
Colwellia rossensis
Comamonas aquatica
Comamonas denitrificans
Comamonas kerstersii
Comamonas nitrativorans
Comamonas terrigena
Comamonas testosteroni
Conchiformibius steedae
Coriobacterium glomerans
Corynebacterium callunae
Couchioplanes caeruleus
Craurococcus roseus
Croceibacter atlanticus
Crossiella cryophila
Cryobacterium mesophilum
Cryobacterium psychrophilum
Cryobacterium psychrotolerans
Cryptobacterium curtum
Cryptococcus aerius
Cryptococcus albidus
Cryptosporangium arvum
Cryptosporangium japonicum
Cupriavidus metallidurans
Cupriavidus pauculus
Cupriavidus taiwanensis
Curtobacterium citreum
Curtobacterium luteum
Curvibacter lanceolatus
Cyclobacterium amurskyense
Cyclobacterium marinum
Cytophaga hutchinsonii
Dactylosporangium aurantiacum
Dactylosporangium tropicum
Deinococcus apachensis
Deinococcus deserti
Deinococcus geothermalis
Deinococcus grandis
Deinococcus hohokamensis
Deinococcus hopiensis
Deinococcus maricopensis
Deinococcus pimensis
Deinococcus proteolyticus
Deinococcus radiodurans
Deinococcus radiophilus
Deinococcus sonorensis
Delftia acidovorans
Demetria terragena
Denitrobacterium detoxificans
Denitrovibrio acetiphilus
Dermabacter hominis
Dermacoccus nishinomiyaensis
Dermatophilus congolensis
Desulfarculus baarsii
Desulfatibacillum aliphaticivorans
Desulfatibacillum alkenivorans
[Desulfobacterium] catecholicum
Desulfobacterium indolicum
Desulfococcus multivorans
Desulfofaba gelida
Desulfohalobium retbaense
Desulfomicrobium baculatum
Desulfomicrobium escambiense
Desulfonatronovibrio hydrogenovorans
Desulfonatronum thiodismutans
Desulfosarcina cetonica
Desulfosarcina variabilis
Desulfovibrio aespoeensis
Desulfovibrio africanus
Desulfovibrio cuneatus
Desulfovibrio fructosivorans
Desulfovibrio giganteus
Desulfovibrio hydrothermalis
Desulfovibrio longus
Desulfovibrio profundus
Desulfovibrio salexigens
Desulfovibrio sulfodismutans
Desulfovibrio vulgaris
Devosia insulae
Devosia limi
Devosia neptuniae
Devosia riboflavina
Devosia soli
Devosia subaequoris
Diaphorobacter nitroreducens
Dickeya chrysanthemi
Dickeya dadantii
Dietzia maris
Dietzia natronolimnaea
Dietzia psychralcaliphila
Dinoroseobacter shibae
Dokdonella koreensis
Dokdonia genika
