Tetrasphaera japonica=null
Mesorhizobium mediterraneum=16985451
Colwellia psychrerythraea=null
Thalassobius gelatinovorus=null
Winogradskyella eximia=null
Pseudoxanthomonas broegbernensis=16988716
Natrinema pellirubrum=null
Cryobacterium psychrophilum=18349385
Pontibacillus chungwhensis=null
Methylocella palustris=16985631
Natronobacterium gregoryi=null
Croceibacter atlanticus=null
Cellulophaga lytica=null
Chryseobacterium soldanellicola=null
Nocardioides kribbensis=null
Herbaspirillum seropedicae=2275644
Soil isolate=null
Gramella echinicola=null
Sphingobacterium faecium=null
Flexithrix dorotheae=15809794
Stappia stellulata=null
Nocardia asteroides=3140162
Pontibacter actiniarum=null
Sulfitobacter brevis=16994491
Mycetocola saprophilus=null
Coenonia anatina=null
Azospirillum brasilense=16836505
Pseudaminobacter salicylatoxidans=16943681
Flexibacter tractuosus=null
Dyella koreensis=null
Alcanivorax venustensis=null
Pedobacter sandarakinus=null
Halomonas salina=null
Bacillus alcalophilus=4838957
Agrococcus jenensis=16826165
Saccharophagus degradans=7396606
Roseobacter denitrificans=null
Muricauda flavescens=null
Halomonas pacifica=null
Pedobacter caeni=null
Sphingosinicella microcystinivorans=null
Porphyrobacter donghaensis=null
Chryseobacterium scophthalmum=null
Acetobacter aceti=3604286
Elizabethkingia miricola=null
Bacterial clone=null
Gluconobacter oxydans=null
Caulobacter vibrioides=null
Vogesella indigofera=2941024
Rhodoglobus vestalii=null
Rhodobacter azotoformans=null
Chryseobacterium gleum=20182711
Microbacterium lacticum=null
Thermonema rossianum=null
Carnimonas nigrificans=null
Novosphingobium capsulatum=null
Arcicella aquatica=null
Natrinema versiforme=16986218
Rhodovulum euryhalinum=null
Delftia acidovorans=4167431
Chromohalobacter israelensis=null
Nocardioides aestuarii=null
Prauserella rugosa=null
Roseovarius tolerans=16992330
Alkalibacillus haloalkaliphilus=null
Pseudomonas putida=2738168
Marinococcus halophilus=null
Planococcus citreus=null
Tenuibacillus multivorans=null
Micromonospora chalcea=null
Pseudoruegeria aquimaris=null
Sulfitobacter dubius=null
Ruegeria algicola=null
Chryseobacterium defluvii=16958180
Teredinibacter turnerae=null
Massilia timonae=6784666
Actinoplanes philippinensis=null
Halomonas pantelleriensis=null
Devosia neptuniae=16960412
Leifsonia shinshuensis=null
Oxalobacter formigenes=1659450
Pedobacter piscium=null
Blastochloris viridis=19596056
Idiomarina abyssalis=null
Yonghaparkia alkaliphila=null
Actinomadura madurae=null
Chromohalobacter canadensis=null
Glaciecola pallidula=16982337
Duganella zoogloeoides=5312489
Saccharomyces cerevisiae=719725
Methanospirillum hungatei=null
Pseudoclavibacter helvolus=null
Bacillus cereus=131307
Oceanospirillum beijerinckii=null
Paenibacillus graminis=null
Algoriphagus winogradskyi=null
Thalassobacter stenotrophicus=null
Rhodovulum adriaticum=null
Tenacibaculum ovolyticum=null
Silicibacter pomeroyi=16992569
Halomonas cupida=null
Geodermatophilus obscurus=null
Polaromonas vacuolata=16963871
Rhizobium huautlense=16989114
Marinomonas mediterranea=null
Amphibacillus xylanus=4748168
Halobacterium salinarum=3782756
Neptunomonas naphthovorans=16986458
Kribbella sandramycini=null
Nocardioides pyridinolyticus=null
Lewinella nigricans=null
Halomonas elongate=null
Octadecabacter antarcticus=null
Telluria mixta=7697657
Spirosoma linguale=null
Mucilaginibacter paludis=null
Microbulbifer elongatus=6839293
Xylophilus ampelinus=8045502
Halomonas desiderata=18348097
Uncultured bacterial=null
Knoellia sinensis=null
Shewanella hanedai=null
Bacillus insolitus=null
Methylobacterium nodulans=16985615
Pedobacter ginsengisoli=16987643
Clavibacter michiganensis=2978666
Riemerella columbina=null
Methylobacterium extorquens=6824039
Xenophilus azovorans=null
Sphingobacterium thalpophilum=null
Aquifex pyrophilus=4782892
Termite gut=null
Chryseobacterium haifense=null
Donghicola eburneus=null
Chryseobacterium joostei=null
Cellulophaga baltica=null
Nocardioides jensenii=null
Wolinella succinogenes=998760
Methylorhabdus multivorans=null
Dietzia maris=null
Streptomyces ambofaciens=null
Opitutaceae bacterium=null
Micrococcus luteus=142000
Gillisia limnaea=null
Filobacillus milensis=16982034
Mesorhizobium tianshanense=16985463
Algoriphagus aquimarinus=null
Brevundimonas diminuta=null
Colwellia maris=null
Ochrobactrum grignonense=16986786
Verrucosispora gifhornensis=18395317
Aquimonas voraii=null
Verrucomicrobium spinosum=null
Leeuwenhoekiella marinoflava=null
Agromyces mediolanus=null
Ochrobactrum gallinifaecis=18355997
Mesorhizobium huakuii=16985447
Amphibacillus fermentum=null
Herbaspirillum autotrophicum=5733329
Oerskovia enterophila=null
Oral clone=null
Halomonas meridiana=null
Bacillus gibsonii=4838963
Enterococcus faecalis=140014
Glaciecola punicea=16982340
Propioniferax innocua=null
Ruegeria gelatinovorans=null
Halorhodospira halophila=19671413
Halomonas variabilis=null
Chelatococcus asaccharovorans=17332611
Bacillus simplex=null
Knoellia subterranea=null
Chryseobacterium hispanicum=null
Rhizobium tropici=null
Rarobacter faecitabidus=null
Asanoa ferruginea=null
Terrimonas ferruginea=null
Saprospira grandis=15844020
Paenibacillus favisporus=null
Sphingomonas mali=null
Promicromonospora citrea=null
Chryseobacterium piscium=null
Chryseobacterium taeanense=null
Bizionia saleffrena=null
Pseudomonas stutzeri=2888828
Natronococcus amylolyticus=null
Chryseobacterium vrystaatense=null
Chromohalobacter salexigens=16958154
Dyella japonica=null
Beijerinckia indica=18357295
Pedobacter cryoconitis=18392440
Sinorhizobium fredii=16992580
Thermoactinomyces vulgaris=null
Phaeobacter gallaeciensis=null
Shewanella algae=7495721
Aminobacter aminovorans=4746449
Telluria chitinolytica=7697655
Shewanella gelidimarina=16992542
Neisseria gonorrhoeae=131129
Propionicimonas paludicola=null
Mesonia mobilis=null
Microlunatus phosphovorus=16985706
Antarctobacter heliothermus=16828828
Mycobacterium tuberculosis=130971
Mesorhizobium chacoense=16985439
Azospirillum doebereinerae=16949809
Aquimarina muelleri=null
